table_name,row_count,tier,entity_class,java_refs,frontend_refs,last_sql_migration,verdict
upload_record,0,OTHER,UploadRecord,k12-common/src/main/java/com/k12/common/entity/UploadRecord.java,,08_legacy_business.sql,UNCLASSIFIED
user,14,OTHER,User,k12-auth/src/main/java/com/k12/auth/admin/controller/AdminRoleController.java;k12-auth/src/main/java/com/k12/auth/admin/controller/AdminUserController.java;k12-auth/src/main/java/com/k12/auth/admin/service/AdminOperationLogService.java;k12-auth/src/main/java/com/k12/auth/admin/service/AdminSystemLoginLogService.java;k12-auth/src/main/java/com/k12/auth/mapper/AdminAnalyticsUserMapper.java;k12-auth/src/main/java/com/k12/auth/mapper/UserLoginLogMapper.java;k12-common/src/main/java/com/k12/common/entity/User.java;k12-common/src/main/java/com/k12/common/mapper/SharedAdminRbacMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/UserLoginLogReadMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/UserResourceActionMapper.java,App.vue;admin/api/analytics.ts;admin/api/auth.ts;admin/api/operationLogs.ts;admin/api/roles.ts;admin/api/system.ts;admin/api/users.ts;admin/components/OperationLogList.vue;admin/components/content/ContentPackageCrud.vue;admin/layouts/AdminBreadcrumb.vue;admin/layouts/AdminHeader.vue;admin/layouts/AdminSidebar.vue;admin/layouts/AdminTabs.vue;admin/router/guards.ts;admin/router/routes.ts;admin/store/adminAuth.ts;admin/views/analytics/AnalyticsResources.vue;admin/views/analytics/AnalyticsUsers.vue;admin/views/audit/AuditRecords.vue;admin/views/content/ContentShell.vue;admin/views/content/ThemeClassMeetingOps.vue;admin/views/dashboard/Dashboard.vue;admin/views/error/Admin403.vue;admin/views/home-config/HomeConfig.vue;admin/views/quality/QualityShell.vue;admin/views/resources/ResourceDetail.vue;admin/views/resources/ResourceList.vue;admin/views/search/SearchNoResults.vue;admin/views/search/SearchOverview.vue;admin/views/search/SearchSynonyms.vue;admin/views/system/SystemConfigShell.vue;admin/views/system/SystemLoginLogs.vue;admin/views/system/SystemOperationLogs.vue;admin/views/system/SystemSettings.vue;admin/views/users/AdminUserList.vue;admin/views/users/UserDetail.vue;admin/views/users/UserList.vue;api/auth.ts;api/download.ts;api/member.ts;api/request.ts;api/search.ts;api/types.ts;api/view.ts;auto-imports.d.ts;components.d.ts;components/layout/AppHeader.vue;components/layout/AuthLayout.vue;components/layout/FeatureChannelMegaPanel.vue;components/resource/ResourceUploadDialog.vue;components/shared/AppPagination.vue;components/shared/FilterChipGroup.vue;components/shared/ModuleTopTabs.vue;components/subject/AdvancedFilterBar.vue;components/subject/CourseCatalog.vue;components/subject/ExamColumnLayout.vue;components/subject/ResourceListSection.vue;components/subject/SuiteDetailDrawer.vue;components/subject/TopicColumnLayout.vue;components/upload/FileUpload.vue;components/upload/UploadStepPlacement.vue;components/user/AccountSecurity.vue;components/user/ProfileHomePanel.vue;components/user/ProfileSettingsPanel.vue;composables/index.ts;composables/useAuthLoginFlow.ts;composables/useAuthSms.ts;composables/useBrowseProgress.ts;composables/useCompetitionZone.ts;composables/useFeatureChannel.ts;composables/useGradePage.ts;composables/useMyCollections.ts;composables/useMyDownloads.ts;composables/useMyResources.ts;composables/useMyViews.ts;composables/useRecentViews.ts;composables/useResourceBrowseContext.ts;composables/useResourceDetail.ts;composables/useResourceFilter.ts;composables/useResourceSeries.ts;composables/useResourceUploadForm.ts;composables/useStageSubject.ts;composables/useThemeClassMeeting.ts;composables/useTopicZone.ts;composables/useUploadFormInject.ts;composables/useUploadTaxonomyCascade.ts;composables/useVersionVolume.ts;constants/uploadLabels.ts;constants/uploadRecommend.ts;router/index.ts;store/index.ts;store/prepBasket.ts;store/resource.ts;store/search.ts;store/user.ts;types/index.ts;utils/uploadPersist.ts;utils/uploadRoute.ts;views/exam/SmartExam.vue;views/feature/ClassMeetingCategory.vue;views/feature/CompetitionResourceDetail.vue;views/feature/CompetitionZone.vue;views/feature/FeaturePage.vue;views/feature/PatrioticEducation.vue;views/feature/TopicResourceDetail.vue;views/feature/TopicZone.vue;views/feature/TraditionalCulture.vue;views/grade/GradePage.vue;views/grade/VersionResourcePage.vue;views/home/HomePage.vue;views/home/ResourceDetail.vue;views/home/components/BannerSection.vue;views/home/components/LatestContent.vue;views/home/components/QuickFunctions.vue;views/home/components/SiteHeader.vue;views/lesson/ExamAssembly.vue;views/lesson/PrepBasketPage.vue;views/lesson/PrepPaperList.vue;views/lesson/components/PrepBasketPanel.vue;views/news/HelpCenter.vue;views/news/NewsChannel.vue;views/news/NewsDetail.vue;views/news/NewsHub.vue;views/news/NewsPublish.vue;views/promotion/PromotionLandingPage.vue;views/resource/ResourceUpload.vue;views/resource/SubjectDetailPage.vue;views/resource/VersionResourcePage.vue;views/resource/demo.vue;views/search/SearchResultPage.vue;views/user/BindPhone.vue;views/user/Login.vue;views/user/Membership.vue;views/user/MyResources.vue;views/user/OAuthCallback.vue;views/user/OAuthSelectRole.vue;views/user/Profile.vue;views/user/Register.vue,91_admin_menu_reorder_plan_a.sql,UNCLASSIFIED
user_admin_remark,0,OTHER,UserAdminRemark,k12-common/src/main/java/com/k12/common/entity/UserAdminRemark.java,,67_admin_user_phase6d.sql,UNCLASSIFIED
user_collection,0,OTHER,,,,09_platform_modules.sql,REVIEW
user_login_log,308,OTHER,UserLoginLog,k12-auth/src/main/java/com/k12/auth/admin/service/AdminSystemLoginLogService.java;k12-auth/src/main/java/com/k12/auth/mapper/UserLoginLogMapper.java;k12-common/src/main/java/com/k12/common/entity/UserLoginLog.java;k12-resource/src/main/java/com/k12/resource/mapper/UserLoginLogReadMapper.java,,72_phase8a_system_logs.sql,UNCLASSIFIED
user_oauth_bind,2,OTHER,UserOAuthBind,k12-common/src/main/java/com/k12/common/entity/UserOAuthBind.java,,63_phase6a_teacher_demo_seed.sql,UNCLASSIFIED
user_resource_action,14,OTHER,UserResourceAction,k12-common/src/main/java/com/k12/common/entity/UserResourceAction.java;k12-resource/src/main/java/com/k12/resource/mapper/UserResourceActionMapper.java,,66_user_resource_action_phase6c.sql,UNCLASSIFIED
v_admin_resource_main,0,OTHER,VAdminResourceMain,k12-common/src/main/java/com/k12/common/entity/VAdminResourceMain.java;k12-resource/src/main/java/com/k12/resource/mapper/VAdminResourceMainMapper.java,admin/constants/resourceSourceTypes.ts;admin/views/audit/ResourceAudit.vue,90_phase3c_quality_cleanup.sql,UNCLASSIFIED
v_low_access_resource,0,OTHER,,,,85_phase8_quality_governance.sql,REVIEW
v_resource_browse,0,OTHER,,,,32_m4_resource_write_enhance.sql,REVIEW
v_resource_full,0,OTHER,,,,05_resource.sql,REVIEW
v_resource_migration_quality,0,OTHER,,k12-resource/src/main/java/com/k12/resource/mapper/ResourceMigrationQualityMapper.java,,90_phase3c_quality_cleanup.sql,UNCLASSIFIED
view_record,35,OTHER,ViewRecord,k12-common/src/main/java/com/k12/common/entity/ViewRecord.java,,37_view_record_detail_url_expand.sql,UNCLASSIFIED
